EnsemblGeneID	EntrezGeneID
ENSGALG00000013369	426048
ENSGALG00000008532	417254
ENSGALG00000002074	
ENSGALG00000027147	771551
ENSGALG00000002088	770030
ENSGALG00000002062	417363
ENSGALG00000008518	417253
ENSGALG00000026716	
ENSGALG00000002108	427805
ENSGALG00000027426	100858268
ENSGALG00000008475	427772
ENSGALG00000012860	408034
ENSGALG00000028111	
ENSGALG00000008472	417250
ENSGALG00000008462	429642
ENSGALG00000002116	100529060
ENSGALG00000002159	417366
ENSGALG00000026847	100858091
ENSGALG00000013365	426047
ENSGALG00000002179	770159
ENSGALG00000008456	374169
ENSGALG00000001948	
ENSGALG00000002194	770172
ENSGALG00000028301	770100
ENSGALG00000002219	417368
ENSGALG00000002234	417369
ENSGALG00000023872	
ENSGALG00000002278	417371
ENSGALG00000007196	404293
ENSGALG00000006310	429472
ENSGALG00000027354	
ENSGALG00000025907	395411
ENSGALG00000001836	420095
ENSGALG00000007190	417249
ENSGALG00000001830	396325
ENSGALG00000002286	396233
ENSGALG00000002286	427887
ENSGALG00000002286	100859629
ENSGALG00000027306	
ENSGALG00000027936	
ENSGALG00000002290	417372
ENSGALG00000002389	
ENSGALG00000002311	417373
ENSGALG00000025751	100858798
ENSGALG00000002415	
ENSGALG00000002424	373891
ENSGALG00000007186	417248
ENSGALG00000002427	770371
ENSGALG00000002444	
ENSGALG00000007174	417247
ENSGALG00000007121	378930
ENSGALG00000001812	420094
ENSGALG00000007113	396440
ENSGALG00000002719	417378
ENSGALG00000002728	395383
ENSGALG00000002747	396061
ENSGALG00000007079	417245
ENSGALG00000021647	428340
ENSGALG00000007197	422090
ENSGALG00000001800	428339
ENSGALG00000002827	417382
ENSGALG00000002841	395789
ENSGALG00000007038	
ENSGALG00000002849	374066
ENSGALG00000002859	395870
ENSGALG00000002877	770573
ENSGALG00000002889	417384
ENSGALG00000002900	417385
ENSGALG00000002923	417386
ENSGALG00000002932	395916
ENSGALG00000002954	417387
ENSGALG00000024381	420093
ENSGALG00000002985	417388
ENSGALG00000002993	417389
ENSGALG00000001773	420092
ENSGALG00000003011	417391
ENSGALG00000007050	
ENSGALG00000007003	100859082
ENSGALG00000027190	770638
ENSGALG00000003033	417393
ENSGALG00000007001	417241
ENSGALG00000006997	395098
ENSGALG00000006987	
ENSGALG00000006971	100859109
ENSGALG00000003059	417395
ENSGALG00000003078	417397
ENSGALG00000026465	417398
ENSGALG00000001749	420090
ENSGALG00000003099	417399
ENSGALG00000003105	427807
ENSGALG00000001596	420089
ENSGALG00000003110	
ENSGALG00000024428	417400
ENSGALG00000003131	770911
ENSGALG00000003144	417401
ENSGALG00000001592	420088
ENSGALG00000011585	100858013
ENSGALG00000003158	417402
ENSGALG00000001580	420087
ENSGALG00000003185	417403
ENSGALG00000023838	100858115
ENSGALG00000024378	425820
ENSGALG00000006958	417231
ENSGALG00000001571	396187
ENSGALG00000003227	427808
ENSGALG00000021479	
ENSGALG00000003260	417405
ENSGALG00000003277	417406
ENSGALG00000003284	417407
ENSGALG00000003294	417408
ENSGALG00000001544	769592
ENSGALG00000001486	420086
ENSGALG00000003319	417409
ENSGALG00000025797	
ENSGALG00000005099	395220
ENSGALG00000005095	
ENSGALG00000003397	417410
ENSGALG00000001440	428337
ENSGALG00000003426	417411
ENSGALG00000001414	
ENSGALG00000000803	100859850
ENSGALG00000000806	420075
ENSGALG00000000807	769697
ENSGALG00000027734	
ENSGALG00000000810	
ENSGALG00000003434	417412
ENSGALG00000005074	417228
ENSGALG00000000812	395746
ENSGALG00000000819	
ENSGALG00000011146	
ENSGALG00000005066	771539
ENSGALG00000024368	395887
ENSGALG00000005063	395182
ENSGALG00000005298	425243
ENSGALG00000000534	395196
ENSGALG00000021679	420077
ENSGALG00000003454	417413
ENSGALG00000029150	396002
ENSGALG00000027537	100858617
ENSGALG00000005060	771557
ENSGALG00000000835	428324
ENSGALG00000005051	417227
ENSGALG00000024367	
ENSGALG00000000843	420078
ENSGALG00000000996	
ENSGALG00000003476	
ENSGALG00000005045	417226
ENSGALG00000005036	
ENSGALG00000026424	417224
ENSGALG00000004992	
ENSGALG00000004986	427768
ENSGALG00000003496	417415
ENSGALG00000004971	417221
ENSGALG00000003515	771243
ENSGALG00000003515	100859864
ENSGALG00000004965	417220
ENSGALG00000010442	100857182
ENSGALG00000003845	429269
ENSGALG00000004927	417219
ENSGALG00000021461	417417
ENSGALG00000003520	417418
ENSGALG00000004920	417218
ENSGALG00000001019	420080
ENSGALG00000003532	395629
ENSGALG00000027540	100857862
ENSGALG00000003540	
ENSGALG00000003566	427809
ENSGALG00000003584	417420
ENSGALG00000003590	417421
ENSGALG00000004881	427766
ENSGALG00000003627	
ENSGALG00000001030	420081
ENSGALG00000001035	431047
ENSGALG00000004852	417217
ENSGALG00000003650	417423
ENSGALG00000003650	100859426
ENSGALG00000026816	
ENSGALG00000026225	417425
ENSGALG00000026225	100859465
ENSGALG00000014589	426626
ENSGALG00000027152	
ENSGALG00000018810	769919
ENSGALG00000001043	428327
ENSGALG00000027771	417428
ENSGALG00000027771	100859535
ENSGALG00000026091	373924
ENSGALG00000026091	100859571
ENSGALG00000003911	417429
ENSGALG00000003911	100859614
ENSGALG00000025950	
ENSGALG00000004783	417215
ENSGALG00000004779	417214
ENSGALG00000001084	428328
ENSGALG00000004767	417213
ENSGALG00000028883	417423
ENSGALG00000028883	100859426
ENSGALG00000004738	
ENSGALG00000003668	
ENSGALG00000003700	417425
ENSGALG00000003700	100859465
ENSGALG00000027346	100857383
ENSGALG00000021439	417427
ENSGALG00000021439	100857488
ENSGALG00000028753	
ENSGALG00000027469	100859443
ENSGALG00000004719	374234
ENSGALG00000026393	429400
ENSGALG00000028915	100857814
ENSGALG00000025784	
ENSGALG00000003900	417428
ENSGALG00000003900	100859535
ENSGALG00000028125	373924
ENSGALG00000028125	100859571
ENSGALG00000026628	417429
ENSGALG00000026628	100859614
ENSGALG00000003943	417430
ENSGALG00000003943	100859687
ENSGALG00000003957	417431
ENSGALG00000003975	
ENSGALG00000028081	100857312
ENSGALG00000001093	395146
ENSGALG00000004021	395152
ENSGALG00000024355	
ENSGALG00000001096	770135
ENSGALG00000004060	417433
ENSGALG00000001101	770153
ENSGALG00000001108	770192
ENSGALG00000028874	
ENSGALG00000028645	100859706
ENSGALG00000001121	395202
ENSGALG00000025779	
ENSGALG00000001126	770217
ENSGALG00000028160	
ENSGALG00000001146	428329
ENSGALG00000027068	772302
ENSGALG00000028440	417434
ENSGALG00000004162	417435
ENSGALG00000004193	427811
ENSGALG00000004215	417437
ENSGALG00000021972	100857433
ENSGALG00000001171	
ENSGALG00000004237	417438
ENSGALG00000004183	417439
ENSGALG00000021399	417440
ENSGALG00000021395	417443
ENSGALG00000004333	417444
ENSGALG00000004370	417445
ENSGALG00000004376	396328
ENSGALG00000004386	374148
ENSGALG00000004413	771533
ENSGALG00000001235	
ENSGALG00000001245	428332
ENSGALG00000004702	417211
ENSGALG00000027149	100857445
ENSGALG00000001252	428333
ENSGALG00000001267	396349
ENSGALG00000014755	396344
ENSGALG00000004429	417449
ENSGALG00000001289	770341
ENSGALG00000004701	417210
ENSGALG00000026401	417450
ENSGALG00000004439	417451
ENSGALG00000004689	
ENSGALG00000004441	771558
ENSGALG00000023364	771509
ENSGALG00000004464	395215
ENSGALG00000001465	771528
ENSGALG00000001317	428335
ENSGALG00000026940	100858879
ENSGALG00000028341	
ENSGALG00000026780	100857535
ENSGALG00000024332	425483
ENSGALG00000018778	426887
ENSGALG00000026626	
ENSGALG00000004495	417453
ENSGALG00000001328	770363
ENSGALG00000001342	
ENSGALG00000004664	417207
ENSGALG00000004659	417205
ENSGALG00000004502	771601
ENSGALG00000001377	420084
ENSGALG00000028223	100857525
ENSGALG00000026444	
ENSGALG00000001385	100858338
ENSGALG00000023359	427813
ENSGALG00000022536	431405
ENSGALG00000021362	427814
